,timestamp,time_granted,RTM_P_cleared,RTM_Q_cleared
49,2021-08-06 12:30:10,45010.0,25.254083935133764,3492.884655239111
50,2021-08-06 12:45:10,45910.0,25.25870925167244,3519.097632168075
51,2021-08-06 13:00:10,46810.0,25.510989841059228,3759.890767360158
52,2021-08-06 13:15:10,47710.0,25.115600248474934,3382.5232019154514
53,2021-08-06 13:30:10,48610.0,25.431380112545103,3638.584276311361
54,2021-08-06 13:45:10,49510.0,25.582178798439678,3775.0752787895954
55,2021-08-06 14:00:10,50410.0,26.760842947746433,4121.761050347607
56,2021-08-06 14:15:10,51310.0,27.10787611871865,4365.231707892969
57,2021-08-06 14:30:10,52210.0,27.11512520788793,4465.206080607486
58,2021-08-06 14:45:10,53110.0,29.033107999152932,5121.962631195515
59,2021-08-06 15:00:10,54010.0,26.99983506351226,4586.040685361631
60,2021-08-06 15:15:10,54910.0,29.1848522887217,5412.8235011896395
61,2021-08-06 15:30:10,55810.0,29.37883356855165,5565.385292058124
62,2021-08-06 15:45:10,56710.0,28.926733074679497,5142.62449351964
63,2021-08-06 16:00:10,57610.0,29.57853653806784,5507.188320733404
64,2021-08-06 16:15:10,58510.0,30.461497230907483,6138.211593362035
65,2021-08-06 16:30:10,59410.0,30.551876137670366,5976.483798257583
66,2021-08-06 16:45:10,60310.0,32.081305865110615,6366.986843392708
67,2021-08-06 17:00:10,61210.0,34.50114573601742,6603.031062264698
68,2021-08-06 17:15:10,62110.0,34.587116746788226,6932.575872259364
69,2021-08-06 17:30:10,63010.0,34.467459293524115,6918.9024606552
70,2021-08-06 17:45:10,63910.0,34.98708773655261,7384.674971893556
71,2021-08-06 18:00:10,64810.0,34.51870525917062,7284.455959401583
72,2021-08-06 18:15:10,65710.0,33.85730293151277,7268.596451819827
73,2021-08-06 18:30:10,66610.0,33.012437589586916,7104.536501615517
74,2021-08-06 18:45:10,67510.0,33.800263044237155,7455.512629704759
75,2021-08-06 19:00:10,68410.0,32.691920585652525,7141.943803475412
76,2021-08-06 19:15:10,69310.0,31.848694655254953,6881.691085005937
77,2021-08-06 19:30:10,70210.0,30.287890917893638,6565.030846852518
78,2021-08-06 19:45:10,71110.0,30.130039329229074,6881.17571504255
79,2021-08-06 20:00:10,72010.0,29.503190476596632,6534.204787257032
80,2021-08-06 20:15:10,72910.0,29.419078716063506,6623.6698206234005
81,2021-08-06 20:30:10,73810.0,27.16910256181603,6354.636146469382
82,2021-08-06 20:45:10,74710.0,27.17565398849337,6497.652683727735
83,2021-08-06 21:00:10,75610.0,26.647585575909943,6257.059991791271
84,2021-08-06 21:15:10,76510.0,26.348398423127325,6274.222622101491
85,2021-08-06 21:30:10,77410.0,26.604877573747206,6506.415134416903
86,2021-08-06 21:45:10,78310.0,26.821650871028996,6834.065668666061
