,timestamp,time_granted,V
41,2021-08-06 03:30:10,12610.0,(319.1779640754274+130.95963976991226j)
42,2021-08-06 03:35:10,12910.0,(319.6330490214309+129.8449612933192j)
43,2021-08-06 03:40:10,13210.0,(322.94780247988507+121.36604497722222j)
44,2021-08-06 03:45:10,13510.0,(323.85901486629524+118.91315524294507j)
45,2021-08-06 03:50:10,13810.0,(320.6201892403545+127.38796745171537j)
46,2021-08-06 03:55:10,14110.0,(317.59026694637237+134.76432146874754j)
47,2021-08-06 04:00:10,14410.0,(320.661701545112+127.28343632300916j)
48,2021-08-06 04:05:10,14710.0,(322.47354198109065+122.62061295789451j)
49,2021-08-06 04:10:10,15010.0,(323.6792131174068+119.40170432492307j)
50,2021-08-06 04:15:10,15310.0,(326.0182407735096+112.85879089794426j)
51,2021-08-06 04:20:10,15610.0,(320.3957450436854+127.95142264899499j)
52,2021-08-06 04:25:10,15910.0,(323.309944187654+120.39800658389674j)
53,2021-08-06 04:30:10,16210.0,(325.6454672292214+113.92993317413142j)
54,2021-08-06 04:35:10,16510.0,(321.78432959811903+124.41802612599625j)
55,2021-08-06 04:40:10,16810.0,(320.9817476562696+126.47417788436837j)
56,2021-08-06 04:45:10,17110.0,(322.3955227016319+122.82559563031472j)
57,2021-08-06 04:50:10,17410.0,(320.51589434962244+127.650152640965j)
58,2021-08-06 04:55:10,17710.0,(320.6874826987465+127.2184673714518j)
59,2021-08-06 05:00:10,18010.0,(323.89261218646203+118.82161323189523j)
60,2021-08-06 05:05:10,18310.0,(323.72350066219076+119.28157912694058j)
61,2021-08-06 05:10:10,18610.0,(327.4699001472864+108.57469547517171j)
62,2021-08-06 05:15:10,18910.0,(328.71219505974756+104.75348595155413j)
63,2021-08-06 05:20:10,19210.0,(320.4275834840541+127.8716690380225j)
64,2021-08-06 05:25:10,19510.0,(321.9721037290215+123.93128910936184j)
65,2021-08-06 05:30:10,19810.0,(323.44750355365505+120.02796526188519j)
66,2021-08-06 05:35:10,20110.0,(322.33254473602415+122.99077446702667j)
67,2021-08-06 05:40:10,20410.0,(321.5801508064202+124.94481424741103j)
68,2021-08-06 05:45:10,20710.0,(324.1487293282378+118.12112967157417j)
69,2021-08-06 05:50:10,21010.0,(319.01664148000884+131.35213153510486j)
70,2021-08-06 05:55:10,21310.0,(323.68909962288996+119.3749001479072j)
71,2021-08-06 06:00:10,21610.0,(323.1372467477351+120.86074534063306j)
72,2021-08-06 06:05:10,21910.0,(318.5608426486229+132.4537259989288j)
73,2021-08-06 06:10:10,22210.0,(318.7300433696956+132.04605050342076j)
74,2021-08-06 06:15:10,22510.0,(318.53715804498074+132.51067483273542j)
75,2021-08-06 06:20:10,22810.0,(317.8432064110029+134.16667297944232j)
76,2021-08-06 06:25:10,23110.0,(325.52899883295936+114.2622900121083j)
77,2021-08-06 06:30:10,23410.0,(329.5902626936965+101.95714166992005j)
78,2021-08-06 06:35:10,23710.0,(317.14496531169226+135.8089502847494j)
79,2021-08-06 06:40:10,24010.0,(315.30663362879886+140.02402218788882j)
80,2021-08-06 06:45:10,24310.0,(318.19130429431+133.33901856353162j)
81,2021-08-06 06:50:10,24610.0,(314.17439012357903+142.54631735150912j)
82,2021-08-06 06:55:10,24910.0,(316.30857321548945+137.74573136900227j)
83,2021-08-06 07:00:10,25210.0,(320.257315959215+128.2975119579468j)
84,2021-08-06 07:05:10,25510.0,(320.49482783087905+127.70303572607503j)
85,2021-08-06 07:10:10,25810.0,(321.9064108520921+124.10182372682564j)
86,2021-08-06 07:15:10,26110.0,(321.0735761657609+126.24087566287449j)
87,2021-08-06 07:20:10,26410.0,(309.0088109445902+153.4227973888187j)
88,2021-08-06 07:25:10,26710.0,(316.51052797402826+137.28104633051817j)
89,2021-08-06 07:30:10,27010.0,(321.590675063176+124.91772377213233j)
90,2021-08-06 07:35:10,27310.0,(305.91271236644144+159.5067785788644j)
91,2021-08-06 07:40:10,27610.0,(306.3114340378335+158.7397410155565j)
92,2021-08-06 07:45:10,27910.0,(313.39913071157855+144.24279832708075j)
93,2021-08-06 07:50:10,28210.0,(309.8803547600697+151.65475836179147j)
94,2021-08-06 07:55:10,28510.0,(310.3428077252222+150.7061435152057j)
95,2021-08-06 08:00:10,28810.0,(312.82667019435644+145.48015127539344j)
96,2021-08-06 08:05:10,29110.0,(304.76200108807825+161.69453513582394j)
97,2021-08-06 08:10:10,29410.0,(311.6141998116857+148.05941535654802j)
98,2021-08-06 08:15:10,29710.0,(310.44447761644994+150.49659902286663j)
99,2021-08-06 08:20:10,30010.0,(302.0881680966177+166.63654669978504j)
100,2021-08-06 08:25:10,30310.0,(307.76804871673045+155.89685111988706j)
101,2021-08-06 08:30:10,30610.0,(310.62978598238766+150.11374374298998j)
102,2021-08-06 08:35:10,30910.0,(298.9780466621546+172.15437146376067j)
103,2021-08-06 08:40:10,31210.0,(305.77531844084444+159.77000542154397j)
104,2021-08-06 08:45:10,31510.0,(309.7379232335941+151.94544715436584j)
105,2021-08-06 08:50:10,31810.0,(304.0013913737313+163.12006020975917j)
106,2021-08-06 08:55:10,32110.0,(305.59944385930424+160.10615201448056j)
107,2021-08-06 09:00:10,32410.0,(307.80151961931836+155.83075601446063j)
108,2021-08-06 09:05:10,32710.0,(298.69641328376275+172.6425575905768j)
109,2021-08-06 09:10:10,33010.0,(304.9565264538472+161.32735965484588j)
110,2021-08-06 09:15:10,33310.0,(309.7330067272187+151.95546894967848j)
111,2021-08-06 09:20:10,33610.0,(306.4564202876107+158.45965563670563j)
112,2021-08-06 09:25:10,33910.0,(313.4018189479855+144.23695740029368j)
113,2021-08-06 09:30:10,34210.0,(314.66203821166783+141.46660987130107j)
114,2021-08-06 09:35:10,34510.0,(293.3816352013432+181.52745281798553j)
115,2021-08-06 09:40:10,34810.0,(296.95110693473987+175.62756073644218j)
116,2021-08-06 09:45:10,35110.0,(302.69831508130835+165.52561749450433j)
117,2021-08-06 09:50:10,35410.0,(299.72462133412625+170.85125509083815j)
118,2021-08-06 09:55:10,35710.0,(301.56052517856943+167.5895272802731j)
119,2021-08-06 10:00:10,36010.0,(304.8308814565258+161.56464251326003j)
120,2021-08-06 10:05:10,36310.0,(301.59840266522775+167.52135239957664j)
121,2021-08-06 10:10:10,36610.0,(302.4559341706421+165.9680929726079j)
122,2021-08-06 10:15:10,36910.0,(305.9099874915771+159.51200441629192j)
123,2021-08-06 10:20:10,37210.0,(302.91235436723366+165.13359916049632j)
124,2021-08-06 10:25:10,37510.0,(303.21888426911653+164.57007085916965j)
125,2021-08-06 10:30:10,37810.0,(307.27187167987984+156.87254977956934j)
126,2021-08-06 10:35:10,38110.0,(299.18551370629854+171.79356329123124j)
127,2021-08-06 10:40:10,38410.0,(307.46657297681946+156.49059557011773j)
128,2021-08-06 10:45:10,38710.0,(308.6038844720912+154.23567190742932j)
129,2021-08-06 10:50:10,39010.0,(298.1872605507176+173.5204819185863j)
130,2021-08-06 10:55:10,39310.0,(298.83938406882555+172.39496085838758j)
131,2021-08-06 11:00:10,39610.0,(306.79158454417427+157.8097704607506j)
132,2021-08-06 11:05:10,39910.0,(298.50178217450474+172.9788600917596j)
133,2021-08-06 11:10:10,40210.0,(305.1103219936598+161.03630464254087j)
134,2021-08-06 11:15:10,40510.0,(308.8346799456318+153.77301604273478j)
135,2021-08-06 11:20:10,40810.0,(300.37626141471765+169.7029804644491j)
136,2021-08-06 11:25:10,41110.0,(300.27608402390257+169.8801735437959j)
137,2021-08-06 11:30:10,41410.0,(307.5523364293323+156.3219765639457j)
138,2021-08-06 11:35:10,41710.0,(305.41267158536795+160.46214517788357j)
139,2021-08-06 11:40:10,42010.0,(314.5489047089474+141.71798243836778j)
140,2021-08-06 11:45:10,42310.0,(313.1203623445713+144.8469491746525j)
