# timestamp,positive_sequence_voltage,distribution_load_real,distribution_load_reac
8/1/2021 20:50,199186,1909710,954624
8/1/2021 20:55,199186,2029780,994920
8/1/2021 21:00,199186,2073010,1011670
8/1/2021 21:05,199186,2000550,986875
8/1/2021 21:10,199186,1969590,978941
8/1/2021 21:15,199186,1939800,962592
8/1/2021 21:20,199186,1880560,943907
8/1/2021 21:25,199186,1887820,951882
8/1/2021 21:30,199186,2036790,1009970
8/1/2021 21:35,199186,2021690,997247
8/1/2021 21:40,199186,1961300,985773
8/1/2021 21:45,199186,1824450,946963
8/1/2021 21:50,199186,1779920,929542
8/1/2021 21:55,199186,1829040,951869
8/1/2021 22:00,199186,1856350,954299
8/1/2021 22:05,199186,1757830,922800
8/1/2021 22:10,199186,1699410,916813
8/1/2021 22:15,199186,1681260,913265
8/1/2021 22:20,199186,1722410,931228
8/1/2021 22:25,199186,1673950,923017
8/1/2021 22:30,199186,1665520,917890
8/1/2021 22:35,199186,1618800,907456
8/1/2021 22:40,199186,1633080,920524
8/1/2021 22:45,199186,1696020,950296
8/1/2021 22:50,199186,1703890,957255
8/1/2021 22:55,199186,1595640,922256
8/1/2021 23:00,199186,1559070,907827
8/1/2021 23:05,199186,1530070,905693
8/1/2021 23:10,199186,1517870,910415
8/1/2021 23:15,199186,1487980,895978
8/1/2021 23:20,199186,1482980,896339
8/1/2021 23:25,199186,1452060,893880
8/1/2021 23:30,199186,1427320,888442
8/1/2021 23:35,199186,1409900,888100
8/1/2021 23:40,199186,1394200,890558
8/1/2021 23:45,199186,1377750,887641
8/1/2021 23:50,199186,1361760,886440
8/1/2021 23:55,199186,1308150,879346
8/2/2021 0:00,199186,1283170,871152
8/2/2021 0:05,199186,1316130,892959
8/2/2021 0:10,199186,1270750,867676
8/2/2021 0:15,199186,1265620,866956
8/2/2021 0:20,199186,1234910,866891
8/2/2021 0:25,199186,1209360,864451
8/2/2021 0:30,199186,1196230,860841
8/2/2021 0:35,199186,1200250,858933
8/2/2021 0:40,199186,1184850,858052
8/2/2021 0:45,199186,1165280,856153
8/2/2021 0:50,199186,1173360,853936
8/2/2021 0:55,199186,1146530,851704
