# file...... outputs/Substation_output_60.csv
# date...... Thu Jun 11 14:49:37 2026
# user...... mukh915
# host...... (null)
# target.... substation 9146
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load,distribution_power_A,distribution_power_B,distribution_power_C
2021-08-01 11:10:00 CDT,+199186+0i,+1.19131e+06+892542j,+399182+481774j,+363549+321137j,+428582+89631.1j
2021-08-01 11:15:00 CDT,+199186+0i,+1.2068e+06+897049j,+404906+484068j,+360517+319433j,+441376+93548.4j
2021-08-01 11:20:00 CDT,+199186+0i,+1.17434e+06+884822j,+381252+477897j,+352266+319358j,+440821+87567.4j
2021-08-01 11:25:00 CDT,+199186+0i,+1.20588e+06+890063j,+387772+479759j,+358202+321681j,+459905+88623.4j
2021-08-01 11:30:00 CDT,+199186+0i,+1.21504e+06+896307j,+396610+483023j,+362408+321564j,+456024+91719.5j
2021-08-01 11:35:00 CDT,+199186+0i,+1.21451e+06+909052j,+391320+488855j,+364060+323387j,+459126+96809.7j
2021-08-01 11:40:00 CDT,+199186+0i,+1.20193e+06+912455j,+370511+484364j,+384515+331154j,+446906+96936.3j
2021-08-01 11:45:00 CDT,+199186+0i,+1.16641e+06+893180j,+389228+483545j,+348890+320202j,+428296+89432.8j
2021-08-01 11:50:00 CDT,+199186+0i,+1.20586e+06+912816j,+412361+491477j,+363009+326730j,+430492+94609.3j
2021-08-01 11:55:00 CDT,+199186+0i,+1.16349e+06+905048j,+363196+483534j,+382458+328568j,+417831+92946.1j
2021-08-01 12:00:00 CDT,+199186+0i,+1.16734e+06+895552j,+362168+482546j,+389201+327078j,+415976+85927.7j
2021-08-01 12:05:00 CDT,+199186+0i,+1.19345e+06+922643j,+376388+489748j,+391155+332082j,+425905+100814j
2021-08-01 12:10:00 CDT,+199186+0i,+1.05706e+06+905330j,+321940+482506j,+361746+329809j,+373376+93015.2j
2021-08-01 12:15:00 CDT,+199186+0i,+1.09465e+06+905512j,+338391+486382j,+377658+330227j,+378602+88903.8j
2021-08-01 12:20:00 CDT,+199186+0i,+1.10996e+06+913516j,+324312+487368j,+404239+333056j,+381410+93091.2j
2021-08-01 12:25:00 CDT,+199186+0i,+1.16645e+06+932066j,+340744+489912j,+429974+343509j,+395734+98644.7j
2021-08-01 12:30:00 CDT,+199186+0i,+1.21154e+06+932288j,+389855+497962j,+410750+339126j,+410935+95200.2j
2021-08-01 12:35:00 CDT,+199186+0i,+1.21778e+06+922402j,+377301+492964j,+391458+330721j,+449023+98717.1j
2021-08-01 12:40:00 CDT,+199186+0i,+1.15802e+06+913878j,+342954+488024j,+376883+333737j,+438186+92117j
2021-08-01 12:45:00 CDT,+199186+0i,+1.17402e+06+937599j,+356019+496240j,+384220+341473j,+433778+99886.5j
2021-08-01 12:50:00 CDT,+199186+0i,+1.1139e+06+939715j,+312784+490693j,+369255+341753j,+431857+107270j
2021-08-01 12:55:00 CDT,+199186+0i,+1.11453e+06+933388j,+337643+493795j,+366559+339641j,+410323+99952.1j
2021-08-01 13:00:00 CDT,+199186+0i,+1.14162e+06+938527j,+360560+498837j,+368098+338587j,+412965+101103j
2021-08-01 13:05:00 CDT,+199186+0i,+1.17065e+06+939695j,+370825+499198j,+374661+339404j,+425160+101093j
2021-08-01 13:10:00 CDT,+199186+0i,+1.25387e+06+945870j,+415139+500365j,+382584+341080j,+456147+104426j
2021-08-01 13:15:00 CDT,+199186+0i,+1.3077e+06+965220j,+427406+505777j,+387426+342030j,+492871+117412j
2021-08-01 13:20:00 CDT,+199186+0i,+1.22904e+06+941488j,+401696+498007j,+382598+339340j,+444746+104142j
2021-08-01 13:25:00 CDT,+199186+0i,+1.2248e+06+937544j,+412520+502204j,+366721+332712j,+445554+102628j
2021-08-01 13:30:00 CDT,+199186+0i,+1.27669e+06+959797j,+405815+501012j,+400466+343240j,+470409+115544j
2021-08-01 13:35:00 CDT,+199186+0i,+1.24682e+06+920882j,+413092+492496j,+387041+331026j,+446683+97359.8j
2021-08-01 13:40:00 CDT,+199186+0i,+1.29885e+06+956625j,+438733+504855j,+404649+343012j,+455471+108758j
2021-08-01 13:45:00 CDT,+199186+0i,+1.28228e+06+942163j,+436939+499022j,+404384+339297j,+440959+103845j
2021-08-01 13:50:00 CDT,+199186+0i,+1.34493e+06+933903j,+448133+491783j,+425387+338710j,+471408+103410j
2021-08-01 13:55:00 CDT,+199186+0i,+1.26347e+06+926303j,+434628+496718j,+371059+327927j,+457781+101658j
2021-08-01 14:00:00 CDT,+199186+0i,+1.24839e+06+976323j,+388832+506168j,+389698+350266j,+469861+119890j
2021-08-01 14:05:00 CDT,+199186+0i,+1.29022e+06+969848j,+437245+519635j,+389902+343249j,+463072+106964j
2021-08-01 14:10:00 CDT,+199186+0i,+1.00452e+06+955952j,+308428+507004j,+300742+338857j,+395352+110092j
2021-08-01 14:15:00 CDT,+199186+0i,+1.13677e+06+961721j,+374567+507380j,+327173+342975j,+435032+111366j
2021-08-01 14:20:00 CDT,+199186+0i,+1.17387e+06+991814j,+372727+517367j,+362280+352266j,+438865+122180j
2021-08-01 14:25:00 CDT,+199186+0i,+1.18078e+06+982648j,+397076+520894j,+369759+351530j,+413947+110225j
2021-08-01 14:30:00 CDT,+199186+0i,+1.20514e+06+993830j,+386971+517360j,+366281+354124j,+451891+122346j
2021-08-01 14:35:00 CDT,+199186+0i,+1.16213e+06+1.00198e+06j,+378212+523025j,+373785+356675j,+410135+122284j
2021-08-01 14:40:00 CDT,+199186+0i,+1.19492e+06+994842j,+411722+521943j,+380374+352605j,+402826+120295j
2021-08-01 14:45:00 CDT,+199186+0i,+1.26189e+06+999763j,+419120+520808j,+412614+361237j,+430158+117718j
2021-08-01 14:50:00 CDT,+199186+0i,+1.26599e+06+1.01101e+06j,+390005+517121j,+397581+359013j,+478407+134874j
2021-08-01 14:55:00 CDT,+199186+0i,+1.6227e+06+1.03473e+06j,+566538+534380j,+485591+367139j,+570568+133211j
2021-08-01 15:00:00 CDT,+199186+0i,+1.59779e+06+1.01468e+06j,+544173+523854j,+482282+357429j,+571337+133402j
2021-08-01 15:05:00 CDT,+199186+0i,+1.52622e+06+967730j,+507755+508815j,+495170+350922j,+523295+107992j
2021-08-01 15:10:00 CDT,+199186+0i,+1.61716e+06+1.01112e+06j,+539464+518207j,+531707+364192j,+545991+128724j
2021-08-01 15:15:00 CDT,+199186+0i,+1.53911e+06+978603j,+517225+510823j,+519840+355543j,+502042+112238j
2021-08-01 15:20:00 CDT,+199186+0i,+1.72397e+06+1.02835e+06j,+610501+532838j,+553871+368565j,+559598+126951j
2021-08-01 15:25:00 CDT,+199186+0i,+1.6251e+06+980495j,+562867+513620j,+516526+351252j,+545712+115624j
2021-08-01 15:30:00 CDT,+199186+0i,+1.66343e+06+996188j,+553599+515408j,+508147+354579j,+601679+126201j
2021-08-01 15:35:00 CDT,+199186+0i,+1.63913e+06+993020j,+542564+514214j,+504809+350798j,+591755+128008j
