# file...... outputs/Substation_output_R4_12_47_1.csv
# date...... Sun Nov 02 12:28:57 2025
# user...... mukh915
# host...... (null)
# target.... substation 8960
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load,distribution_power_A,distribution_power_B,distribution_power_C
2021-08-01 07:20:00 CDT,+199186+0i,+1.3195e+06+846108j,+467642+467012j,+378304+306363j,+473556+72732.7j
2021-08-01 07:25:00 CDT,+199186+0i,+1.27582e+06+845790j,+419308+466264j,+378731+306383j,+477780+73143.6j
2021-08-01 07:30:00 CDT,+199186+0i,+1.24274e+06+845166j,+418845+466371j,+372083+306519j,+451809+72276.4j
2021-08-01 07:35:00 CDT,+199186+0i,+1.23904e+06+845616j,+426830+466982j,+376381+306541j,+435830+72093.5j
2021-08-01 07:40:00 CDT,+199186+0i,+1.26689e+06+848230j,+437662+468421j,+386090+307889j,+443141+71920.6j
2021-08-01 07:45:00 CDT,+199186+0i,+1.28619e+06+849684j,+445192+468714j,+393565+308330j,+447433+72639.3j
2021-08-01 07:50:00 CDT,+199186+0i,+1.32343e+06+851322j,+479948+469702j,+387250+308261j,+456234+73359.9j
2021-08-01 07:55:00 CDT,+199186+0i,+1.33949e+06+851882j,+479749+469725j,+401884+308714j,+457859+73443.4j
2021-08-01 08:00:00 CDT,+199186+0i,+1.31793e+06+852984j,+480073+470025j,+386510+308847j,+451346+74112.3j
2021-08-01 08:05:00 CDT,+199186+0i,+1.34394e+06+855229j,+484954+470011j,+406597+309225j,+452394+75993.2j
2021-08-01 08:10:00 CDT,+199186+0i,+1.34818e+06+855860j,+468351+469841j,+404155+309185j,+475673+76833.8j
2021-08-01 08:15:00 CDT,+199186+0i,+1.32573e+06+855015j,+472949+469896j,+383715+308937j,+469066+76181.6j
2021-08-01 08:20:00 CDT,+199186+0i,+1.33977e+06+855670j,+476244+470031j,+394988+309129j,+468539+76510.1j
2021-08-01 08:25:00 CDT,+199186+0i,+1.36926e+06+856503j,+486352+470248j,+401857+309277j,+481055+76977.5j
2021-08-01 08:30:00 CDT,+199186+0i,+1.36093e+06+857186j,+478146+470145j,+394119+309138j,+488667+77902.3j
2021-08-01 08:35:00 CDT,+199186+0i,+1.35459e+06+858315j,+473382+470680j,+399915+309485j,+481289+78149.2j
2021-08-01 08:40:00 CDT,+199186+0i,+1.40193e+06+864230j,+477973+472491j,+438382+312187j,+485571+79550.9j
2021-08-01 08:45:00 CDT,+199186+0i,+1.39584e+06+864128j,+471192+471156j,+434899+312327j,+489752+80645j
2021-08-01 08:50:00 CDT,+199186+0i,+1.38729e+06+874497j,+483809+476732j,+418530+317134j,+484953+80631.6j
2021-08-01 08:55:00 CDT,+199186+0i,+1.32229e+06+863186j,+452223+471250j,+392644+311583j,+477420+80353.2j
2021-08-01 09:00:00 CDT,+199186+0i,+1.32275e+06+865717j,+438061+471740j,+394264+312060j,+490429+81916.7j
2021-08-01 09:05:00 CDT,+199186+0i,+1.32001e+06+865788j,+433547+471332j,+401470+312662j,+484993+81793.3j
2021-08-01 09:10:00 CDT,+199186+0i,+1.27522e+06+863639j,+438893+473104j,+383215+312070j,+453110+78465.5j
2021-08-01 09:15:00 CDT,+199186+0i,+1.26839e+06+863685j,+437240+473142j,+377537+311788j,+453612+78754.7j
2021-08-01 09:20:00 CDT,+199186+0i,+1.26174e+06+865147j,+438887+473668j,+368703+312542j,+454150+78936.8j
2021-08-01 09:25:00 CDT,+199186+0i,+1.27165e+06+868648j,+447380+474867j,+367000+312517j,+457273+81264.3j
2021-08-01 09:30:00 CDT,+199186+0i,+1.25328e+06+867859j,+451079+475434j,+360393+312860j,+441803+79565.4j
2021-08-01 09:35:00 CDT,+199186+0i,+1.23809e+06+869045j,+429073+474772j,+351163+313240j,+457859+81032.1j
2021-08-01 09:40:00 CDT,+199186+0i,+1.20329e+06+867331j,+426231+474743j,+346933+312431j,+430129+80157.2j
2021-08-01 09:45:00 CDT,+199186+0i,+1.25092e+06+881297j,+436870+477227j,+365647+318529j,+448404+85540.8j
2021-08-01 09:50:00 CDT,+199186+0i,+1.29879e+06+890951j,+468235+484179j,+356206+318208j,+474347+88563.7j
2021-08-01 09:55:00 CDT,+199186+0i,+1.27805e+06+874409j,+462408+477074j,+369190+315314j,+446454+82020.4j
2021-08-01 10:00:00 CDT,+199186+0i,+1.30665e+06+887761j,+465971+484244j,+392067+320744j,+448615+82773.2j
2021-08-01 10:05:00 CDT,+199186+0i,+1.27356e+06+888972j,+434988+479892j,+378217+320532j,+460359+88547.8j
