# file...... outputs/Substation_output.csv
# date...... Fri Nov 07 18:57:18 2025
# user...... jacob
# host...... (null)
# target.... substation 9272
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load,distribution_power_A,distribution_power_B,distribution_power_C
2021-08-08 10:30:00 CDT,+199186+0i,+1.15919e+06+922594j,+388847+489552j,+349304+334428j,+421039+98614.3j
2021-08-08 10:35:00 CDT,+199186+0i,+1.10838e+06+908668j,+389988+490276j,+313711+326292j,+404678+92099.9j
2021-08-08 10:40:00 CDT,+199186+0i,+1.17506e+06+929968j,+399438+496853j,+331065+329248j,+444554+103868j
2021-08-08 10:45:00 CDT,+199186+0i,+1.17737e+06+918218j,+395142+489936j,+350652+332103j,+431577+96179.2j
2021-08-08 10:50:00 CDT,+199186+0i,+1.1337e+06+910534j,+401013+495967j,+323399+323829j,+409285+90737.8j
2021-08-08 10:55:00 CDT,+199186+0i,+1.24105e+06+960162j,+429226+506505j,+344794+339570j,+467033+114087j
2021-08-08 11:00:00 CDT,+199186+0i,+1.175e+06+936152j,+405034+496729j,+331155+332139j,+438808+107283j
2021-08-08 11:05:00 CDT,+199186+0i,+1.15214e+06+929471j,+389664+491646j,+324496+330952j,+437984+106873j
2021-08-08 11:10:00 CDT,+199186+0i,+1.24257e+06+967124j,+458920+519695j,+339679+336344j,+443976+111085j
2021-08-08 11:15:00 CDT,+199186+0i,+1.16067e+06+935705j,+383535+491205j,+353229+339907j,+423908+104593j
2021-08-08 11:20:00 CDT,+199186+0i,+1.25601e+06+960965j,+471199+510571j,+341906+338179j,+442908+112215j
2021-08-08 11:25:00 CDT,+199186+0i,+1.31917e+06+984822j,+462441+508872j,+393143+356392j,+463589+119557j
2021-08-08 11:30:00 CDT,+199186+0i,+1.20493e+06+945045j,+441461+504710j,+333256+331480j,+430209+108855j
2021-08-08 11:35:00 CDT,+199186+0i,+1.3017e+06+983754j,+451817+509739j,+360907+340963j,+488972+133052j
2021-08-08 11:40:00 CDT,+199186+0i,+1.33936e+06+1.00002e+06j,+446390+510263j,+424218+366133j,+468755+123621j
2021-08-08 11:45:00 CDT,+199186+0i,+1.32359e+06+992504j,+476329+517926j,+394568+354128j,+452691+120450j
2021-08-08 11:50:00 CDT,+199186+0i,+1.22196e+06+965646j,+403068+499160j,+361684+345075j,+457203+121412j
2021-08-08 11:55:00 CDT,+199186+0i,+1.32935e+06+986202j,+442311+506748j,+386631+348641j,+500412+130812j
2021-08-08 12:00:00 CDT,+199186+0i,+1.428e+06+1.01369e+06j,+466555+513304j,+427527+358150j,+533922+142238j
2021-08-08 12:05:00 CDT,+199186+0i,+1.57068e+06+1.03638e+06j,+530073+526503j,+497495+376900j,+543115+132975j
2021-08-08 12:10:00 CDT,+199186+0i,+1.39212e+06+986692j,+458831+508545j,+442851+358961j,+490437+119185j
2021-08-08 12:15:00 CDT,+199186+0i,+1.51797e+06+1.05906e+06j,+486515+535484j,+466175+370383j,+565280+153189j
2021-08-08 12:20:00 CDT,+199186+0i,+1.564e+06+1.04644e+06j,+521684+534134j,+484588+370102j,+557725+142206j
2021-08-08 12:25:00 CDT,+199186+0i,+1.37543e+06+1.01477e+06j,+458843+522195j,+414309+361714j,+502273+130862j
2021-08-08 12:30:00 CDT,+199186+0i,+1.51488e+06+1.05809e+06j,+503738+533356j,+457529+375731j,+553608+149003j
2021-08-08 12:35:00 CDT,+199186+0i,+1.40594e+06+1.03363e+06j,+471578+525588j,+422336+365693j,+512023+142352j
2021-08-08 12:40:00 CDT,+199186+0i,+1.41351e+06+1.03272e+06j,+509462+534460j,+399767+360496j,+504278+137765j
2021-08-08 12:45:00 CDT,+199186+0i,+1.47941e+06+1.05144e+06j,+506287+535458j,+450264+375244j,+522856+140737j
2021-08-08 12:50:00 CDT,+199186+0i,+1.43545e+06+1.03212e+06j,+453045+522813j,+434274+367348j,+548132+141960j
2021-08-08 12:55:00 CDT,+199186+0i,+1.38583e+06+1.02157e+06j,+444543+522566j,+415838+359841j,+525449+139162j
